source,event,word,count,position
Gazeta_Wyborcza,wybory_samorz_start,msza,39,3
Gazeta_Wyborcza,wybory_samorz_start,prokuratura,32,4
Gazeta_Wyborcza,wybory_samorz_start,kandydat,31,5
Gazeta_Wyborcza,wybory_samorz_start,policja,29,6
Gazeta_Wyborcza,wybory_samorz_start,waltz,29,7
Gazeta_Wyborcza,wybory_samorz_start,kamienica,27,8
Gazeta_Wyborcza,wybory_samorz_start,niemiecki,27,9
Gazeta_Wyborcza,wybory_samorz_start,kosciol,26,10
Gazeta_Wyborcza,zamach_bruks_end,zamach,183,1
Gazeta_Wyborcza,zamach_bruks_end,bruksela,132,2
Gazeta_Wyborcza,zamach_bruks_end,policja,112,3
Gazeta_Wyborcza,zamach_bruks_end,pis,91,4
Gazeta_Wyborcza,zamach_bruks_end,marco,78,5
Gazeta_Wyborcza,zamach_bruks_end,prawo,75,6
Gazeta_Wyborcza,zamach_bruks_end,sluzba,75,7
Gazeta_Wyborcza,zamach_bruks_end,atak,73,8
Gazeta_Wyborcza,zamach_bruks_end,media,72,9
Gazeta_Wyborcza,zamach_bruks_end,mezczyzna,70,10
Gazeta_Wyborcza,zamach_bruks_start,pis,119,1
Gazeta_Wyborcza,zamach_bruks_start,marco,98,2
Gazeta_Wyborcza,zamach_bruks_start,rzad,94,3
Gazeta_Wyborcza,zamach_bruks_start,duda,87,4
Gazeta_Wyborcza,zamach_bruks_start,prokuratura,83,5
Gazeta_Wyborcza,zamach_bruks_start,minister,82,6
Gazeta_Wyborcza,zamach_bruks_start,prokurator,82,7
Gazeta_Wyborcza,zamach_bruks_start,andrzej,81,8
Gazeta_Wyborcza,zamach_bruks_start,kaczynski,78,9
Gazeta_Wyborcza,zamach_bruks_start,prawo,70,10
Gazeta_Wyborcza,zamach_hebdo_end,grecja,333,1
Gazeta_Wyborcza,zamach_hebdo_end,pis,225,2
Gazeta_Wyborcza,zamach_hebdo_end,euro,217,3
Gazeta_Wyborcza,zamach_hebdo_end,referendum,201,4
Gazeta_Wyborcza,zamach_hebdo_end,rzad,181,5
Gazeta_Wyborcza,zamach_hebdo_end,pomoc,162,6
Gazeta_Wyborcza,zamach_hebdo_end,grecki,157,7
Gazeta_Wyborcza,zamach_hebdo_end,program,155,8
Gazeta_Wyborcza,zamach_hebdo_end,strefa,149,9
Gazeta_Wyborcza,zamach_hebdo_end,rozmowa,148,10
Gazeta_Wyborcza,zamach_hebdo_start,grecja,327,1
Gazeta_Wyborcza,zamach_hebdo_start,rzad,264,2
Gazeta_Wyborcza,zamach_hebdo_start,program,249,3
Gazeta_Wyborcza,zamach_hebdo_start,referendum,249,4
Gazeta_Wyborcza,zamach_hebdo_start,euro,198,5
Gazeta_Wyborcza,zamach_hebdo_start,kopacz,168,6
Gazeta_Wyborcza,zamach_hebdo_start,grecki,168,7
Gazeta_Wyborcza,zamach_hebdo_start,premiera,159,8
Gazeta_Wyborcza,zamach_hebdo_start,pomoc,147,9
Gazeta_Wyborcza,zamach_hebdo_start,policja,145,10
Gazeta_Wyborcza,zamach_paryz_end,paryz,595,1
Gazeta_Wyborcza,zamach_paryz_end,zamach,524,2
Gazeta_Wyborcza,zamach_paryz_end,francja,309,3
Gazeta_Wyborcza,zamach_paryz_end,atak,249,4
Gazeta_Wyborcza,zamach_paryz_end,islamski,228,5
